id,nombre_contenedor,tipo,estado,descripcionC,created_at,updated_at,empresa_id,generador_id,telemetria_id,set_point,latitud,longitud,ultima_fecha,temp_supply_1,temp_supply_2,return_air,evaporation_coil,condensation_coil,compress_coil_1,compress_coil_2,ambient_air,cargo_1_temp,cargo_2_temp,cargo_3_temp,cargo_4_temp,relative_humidity,avl,suction_pressure,discharge_pressure,line_voltage,line_frequency,consumption_ph_1,consumption_ph_2,consumption_ph_3,co2_reading,o2_reading,evaporator_speed,condenser_speed,battery_voltage,power_kwh,power_trip_reading,power_trip_duration,suction_temp,discharge_temp,supply_air_temp,return_air_temp,dl_battery_temp,dl_battery_charge,power_consumption,power_consumption_avg,alarm_present,capacity_load,power_state,controlling_mode,humidity_control,humidity_set_point,fresh_air_ex_mode,fresh_air_ex_rate,fresh_air_ex_delay,set_point_o2,set_point_co2,defrost_term_temp,defrost_interval,water_cooled_conde,usda_trip,evaporator_exp_valve,suction_mod_valve,hot_gas_valve,economizer_valve,ethylene,stateProcess,stateInyection,timerOfProcess,modelo,alarm_number,NA,ripener_prueba,defrost_prueba,sp_ethyleno,extra_1,extra_2
22,ZGRU6860448,Madurador,1,"CENCOSUD WONG ASIA","2023-03-28 17:27:32","2024-04-04 09:26:12",12,1,114,-25,-11.9803,-77.1226,"2024-04-24 12:33:59",10.3,-3277,19.1,17.5,28.5,37.8,-3277,26.5,0,0,0,0,32766,32766,3276.6,3276.6,454,59,11.7,12,11.3,25.4,3276.6,30,100,0,38983.5,6.5,0,3276.6,3276.6,10.3,19.1,125.18,10.51,655.35,0,0,91,1,1,0,254,0,32766,3276.6,3276.6,3276.6,18,6,0,0,144,180,27,4,0,0,0,0,THERMOKING,0,NA,2,2,0,0,0
23,ASDG,Reefer,0,"Sin Informacion","2023-03-31 20:08:31","2023-04-04 17:45:43",1,1,115,-25,-11.9877,-77.064,"2023-03-31 20:10:27",-32.4,NULL,-24.5,-32.9,NULL,NULL,NULL,26,-3277,-3277,-3277,-3277,78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,OPTIMIZED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1,1,0,0,0
24,\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00,Reefer,0,"Sin Informacion","2023-04-01 10:28:53","2023-04-03 14:08:24",1,1,116,0,-11.8686,-77.0723,"2023-04-11 14:10:54",0,NULL,0,0,NULL,NULL,NULL,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0," --- ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1,1,0,0,0
25,ASD,Reefer,0,rrreett,"2023-04-04 17:28:48","2023-04-04 17:44:20",1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,1,1,0,0,0
26,zomos,Reefer,0,eeerrt,"2023-04-04 17:46:40","2023-04-04 17:48:25",1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,1,1,0,0,0
27,test,Reefer,0,2334,"2023-04-04 17:49:34","2023-04-04 17:50:03",1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,1,1,0,0,0
28,\xff\x00SU5037850,Reefer,0,"Sin Informacion","2023-04-09 03:50:42","2023-04-17 11:07:22",1,1,42,-25,-12.0404,-76.9994,"2023-04-09 03:50:42",-28,NULL,0,0,NULL,NULL,NULL,0,26.4,-3277,-3277,-3277,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,OPTIMIZED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1,1,0,0,0
29,LOSU47\xef\x84!\x08B,Reefer,0,"Sin Informacion","2023-04-11 17:56:33","2023-04-17 11:07:17",1,1,118,-25,-11.9877,-77.064,"2023-04-11 17:57:18",-25.5,NULL,-23.7,-23.6,NULL,NULL,NULL,26.7,-3277,-3277,-3277,-3277,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,OPTIMIZED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1,1,0,0,0
30,\xff\x00SU4723326,Reefer,0,"Sin Informacion","2023-04-12 11:59:54","2023-04-17 11:07:11",1,1,40,-25,-11.9877,-77.064,"2023-04-12 11:59:54",-29.6,NULL,0,0,NULL,NULL,NULL,0,29,-3277,-3277,-3277,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,OPTIMIZED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1,1,0,0,0
31,ZGRU5346143,Reefer,0,"Sin Informacion","2023-04-14 11:59:05","2023-04-17 11:09:33",1,1,120,20,-11.9803,-77.1226,"2023-11-02 17:13:01",18.9,0,23.7,21.8,0,0,0,28.1,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,1,88,2,32766,3276.6,3276.6,3,18,6,0,0,255,255,255,255,17.9,0,0,0,THERMOKING,0,NA,2,2,0,0,0
32,ZGRU1308760,Reefer,1,"Sin Informacion","2023-04-15 17:24:22","2023-04-15 17:24:22",1,1,121,-20,-11.8747,-77.1284,"2023-04-15 17:36:26",16.3,NULL,26.8,24,NULL,NULL,NULL,28.1,-3277,-3277,-3277,-3277,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,OPTIMIZED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1,1,0,0,0
33,ZGRU7258301,Madurador,1,"CENCOSUD SANTA ANITA","2023-04-17 12:06:49","2024-04-04 09:26:51",17,1,122,4,-11.9803,-77.1226,"2024-07-19 14:31:20",9.1,-3277,8.5,9.2,29.5,31.2,-3276.9,27.2,24.9,-38.5,-38.5,-38.5,70,32766,3276.6,3276.6,452,60,0.6,0.7,0.6,25.4,3276.6,30,0,0,29606.4,17573.4,0,3276.6,3276.6,9.1,8.5,42.26,0,0.44,2.18,1,100,1,1,0,254,0,32766,3276.6,3276.6,3276.6,18,6,0,0,255,255,255,255,320,0,0,0,THERMOKING,0,NA,2,2,0,0,0
34,ZGRU6934047,Reefer,1,"Sin Informacion","2023-04-17 12:07:02","2023-04-17 12:07:02",16,1,123,-7.1,-12.0478,-76.9526,"2023-04-17 17:24:07",-7.2,NULL,-1.5,-1.1,NULL,NULL,NULL,26.4,0,0,0,0,52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,"BULB MODE HIGH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1,1,0,0,0
